date,hitsArrived,avgRewardsArrived,hitsCompleted,avgRewardsCompleted
2014-06-03 19:00:00,9445.0,0.15992588671254632,18433.0,0.19413877285303532
2014-06-03 20:00:00,9762.0,0.10731919688588405,5618.0,0.13663937344250623
2014-06-03 21:00:00,8079.0,0.27112513924990717,6595.0,0.07913267626990143
2014-06-03 22:00:00,7305.0,0.12207392197125257,20472.0,0.042028624462680735
2014-06-03 23:00:00,9221.0,0.07547446047066479,2361.0,0.08629817873782296
2014-06-04 00:00:00,4276.0,0.11515902712815716,3677.0,0.19762034267065542
2014-06-04 01:00:00,3168.0,0.3969854797979798,2607.0,0.1282777138473341
2014-06-04 02:00:00,3937.0,0.16386334772669545,4500.0,0.17981333333333333
2014-06-04 03:00:00,5366.0,0.14210212448751397,6186.0,0.10415292596184933
2014-06-04 04:00:00,3073.0,0.15435730556459484,6825.0,0.09115897435897435
