date_part	reward	count
2013	0.73	1366
2013	0.74	1054
2013	0.75	9465
2013	0.76	1069
2013	0.77	1023
2013	0.78	1341
2013	0.79	1008
2013	0.8	2447
2013	0.81	1610
2013	0.82	1027
2013	0.83	2162
2013	0.84	893
2013	0.85	3147
2013	0.86	920
2013	0.87	803
2013	0.88	3393
2013	0.89	1087
2013	0.9	1337
2013	0.91	791
2013	0.92	857
2013	0.93	823
2013	0.94	3490
2013	0.95	851
2013	0.96	764
2013	0.97	1039
2013	0.98	882
2013	0.99	1221
2013	1	10176
