requester_id	num_followers
A1RNR903SWIRSV	1
A3NGA95JGXE0GD	1
A32WH2887E2DAC	1
A3TVZBDEF2DJG1	1
A3A8Q21R517G44	1
AX1P7C9CDZMBQ	1
AMZKCU4D3WQKC	1
A135XJ4D20LZG1	1
AIUGB4HET3PFN	1
A20ECBW1U273EM	1
AYDCQGUPEZVAC	1
A35EO441LXU9K2	1
A3HLCR4YCHJWBI	1
ADGHS9MOR2MHM	1
A1J24AKRYQEYZ0	1
A17SG3PCAE3F9S	1
A45RUZL5CTQDB	1
A3ORVIDMDER6WF	1
A1QIWAWEXZWYBU	1
AECBEPZN65ILQ	1
A2YTOX7SEDJ1TC	1
A31QVT68X2F0II	1
AAE8HYZ2P1HCS	1
ACT5VIUIHL1XU	1
A1Y449NT920WTJ	1
A3O9WUYWEO1OSM	1
A39O6ZITQB83OS	1
A34NJKLS08UKFD	1
AL67DFEOP3BP5	1
A2W8GSI0QQYDFI	1
A2505CGTY9W9RX	1
A1ARYHWGG52D8V	1
A3GAVAUPTHM0B8	1
A34PN4ER0H3PRV	1
AWG6NSXITGXT6	1
A1C6GAPI0IIGT6	1
A2BI1DI3OWAC8X	1
A3NC2P2SPK9QQ	1
A2G8YSUBJG66QK	1
ADQUWL0IHX702	1
A3VGKL8XELRK88	1
A1Y60GLKWAPKFR	1
A1PWZ3QR4FV7KQ	1
A27RDRMZV5JBTW	1
A1XKGAWLV8BR1Q	1
A1ER2EGTMUN55G	1
A385N1A6D2NB53	1
A1N42VECAVD0KI	1
A2LJUBI5V94J03	1
AJXQ2GILWLEGD	1
A3FB3LMEFKY67W	1
A1XSXGTHKR6DND	1
A990SKM7AVWQR	1
A3MX44TDYCA6JW	1
AC0PMLGLVH8B6	1
A14749VFR2DP2X	1
A3UCVBBRU5WEZN	1
A3SGEMAIL4P80V	1
A1PM9YX6091Q0K	1
ATEST	1
A2X3A4GZJQ1YIW	1
A1ZUSV148G9OWJ	1
AAWHB5RDMECIE	1
A1W9VTACEP8DA8	1
A7LQQZGEWBFIV	1
A37IPCWI3OKNH9	1
A2WEBYM0PMUCYK	1
AJ1XMH5L5JHD8	1
A11WZJZMSRLMJD	1
A24GLRPZH69FUH	1
A2CY1IGTI4IG5D	1
A1JFN2E6FQWYZW	1
A2XM765YM1E5NV	1
AMSDVFFVDUXY4	1
A3B0WZWYQTDF0E	1
A2W8Y76NHV5KKF	1
A3E4ZMSH1WJO7S	1
A297DCPEV7AB45	1
A1A7E5UB06U9BU	1
A36GVQJBSD0AB5	1
AZHXUEW99IMZW	1
AILLW58M81UXY	1
A1ATES40ZPE477	1
A23SS1C7F5ZZGM	1
A1GN5WHL444UDR	1
A1MLQHBDECXXOQ	1
ATAFYYO3C89DU	1
A3K943T2UBVET7	1
A256GJL6JKFB79	1
A1K09FP8Y5ML05	1
A1OOHJU0IPP89Z	1
A2LZAIMDFAAAZA	1
A3HAOMDYND890B	1
A9K0CV70JWG1W	1
A1KWAD9ECV2X5W	1
A106SCH82LKQBT	1
A3LCIQF1AIQ7J1	1
AI44KSBORMS4H	1
A3CUS1OQ4U21JY	1
A23BI0CZEU4ZJN	1
ARNDPG18BP0RJ	1
A2VMT6P7LDQE71	1
A29FNYZFTFCQ1L	1
A1W38RZ996UEOG	1
A3L9KG1K0UGWDO	1
A2P191MUP3WMOU	1
A1FVAVBJHU9B21	1
A2U0D8JWRBH52O	1
A2J73WW6CQ60SS	1
A2IB1LQ3LLB62U	1
A3SBGXUYMGMI6B	1
A3LHJ3LAF5VUBQ	1
A1CTSB5F0LCB95	1
A2UVRP50C9TMK3	1
ACG6BC501YHFW	1
AYY5TBDO2MPWM	1
A1V5CSLF3UKNIQ	1
A35LNHYMHYD5PK	1
AHSK3ATQK76EO	1
A03257389PZSORY2QAKJ	1
A1IF5KJREPEMHH	1
