hitsArrived,avgRewardsArrived,hitsCompleted
9002.0,0.11582648300377694,9660.0
9910.0,0.1940978809283552,13688.0
13260.0,0.10219532428355957,8404.0
8046.0,0.11493164305244842,12444.0
8995.0,0.1281289605336298,45313.0
15878.0,0.07789079229122056,77574.0
38942.0,0.057343741975245235,12442.0
66604.0,0.08399615638700378,12534.0
11622.0,0.0639459645499914,8864.0
4821.0,0.12865795478116573,12705.0
6183.0,0.1223888080219958,7184.0
5264.0,0.11819338905775076,9748.0
2971.0,0.16596095590710197,9540.0
2757.0,0.1926804497642365,6580.0
6338.0,0.09365730514357842,6716.0
2399.0,0.12170904543559817,3718.0
2881.0,0.09066990628254079,4086.0
4913.0,0.08632607368206799,5257.0
2707.0,0.14062800147765053,6107.0
2722.0,0.20207200587803084,3501.0
5828.0,0.10395332875772136,6428.0
5888.0,0.09866847826086957,4515.0
4059.0,0.15107908351810792,6623.0
13016.0,0.1133696988322065,5790.0
5285.0,0.17508987701040682,13449.0
7035.0,0.15504761904761905,8143.0
16174.0,0.11747063187832324,6489.0
16125.0,0.12471007751937985,5973.0
10232.0,0.1222273260359656,67704.0
11189.0,0.1011949235856645,25647.0
16699.0,0.08769626923767891,7783.0
22342.0,0.08171560290036703,18013.0
4090.0,0.13238141809290954,8064.0
2871.0,0.25071403692093347,8171.0
7286.0,0.06671150150974471,7326.0
3974.0,0.14935832913940614,9576.0
4577.0,0.14879615468647586,7701.0
3951.0,0.11426727410782081,7755.0
2670.0,0.16141947565543072,6544.0
2314.0,0.10701382886776145,4475.0
1643.0,0.20878271454656117,3882.0
2192.0,0.11208029197080292,3153.0
14014.0,0.9941751106036821,7170.0
3685.0,0.10120217096336499,5653.0
1896.0,0.24806434599156119,5724.0
4733.0,0.15680752165645467,5245.0
4057.0,0.09168843973379345,6213.0
12848.0,0.0788527397260274,7714.0
9494.0,0.12520012639561828,8095.0
5283.0,0.12611205754306265,6103.0
13694.0,0.08763253979845187,6172.0
6270.0,0.15784370015948962,5335.0
5722.0,0.1288465571478504,6947.0
17244.0,0.049095337508698676,5842.0
4855.0,0.1253017507723996,5079.0
6381.0,0.11392728412474534,5957.0
5159.0,0.19446598177941463,6294.0
6736.0,0.1090187054631829,7472.0
4497.0,0.20663553480097843,7870.0
2715.0,0.25392265193370167,5446.0
3221.0,0.16644520335299595,6503.0
2703.0,0.2113466518682945,6669.0
2184.0,0.26972527472527474,5791.0
3819.0,0.12034040324692327,5828.0
1767.0,0.17751556310130165,3939.0
1252.0,0.2614297124600639,3779.0
1112.0,0.6516726618705035,2856.0
1132.0,0.33242049469964663,1995.0
4255.0,0.16548766157461808,3152.0
2008.0,0.2656872509960159,4128.0
4224.0,0.19188210227272728,3056.0
3154.0,0.2048002536461636,4121.0
4615.0,0.18956663055254605,5060.0
4302.0,0.16954207345420735,3599.0
9018.0,0.09063317808826792,4973.0
13591.0,0.07807151791626811,5808.0
56335.0,0.05590591994319695,4979.0
27155.0,0.07311029276376357,9840.0
6093.0,0.11348596750369276,4197.0
7587.0,0.10180308422301305,3700.0
5631.0,0.11857396554786007,4483.0
5868.0,0.1300937286980232,5714.0
5534.0,0.10490784242862304,6455.0
3511.0,0.10531187695813159,5464.0
4247.0,0.10342123852130916,6676.0
1988.0,0.23183098591549295,6694.0
2892.0,0.12244121715076073,7007.0
2147.0,0.11782487191429902,4675.0
17924.0,0.03290560142825262,5428.0
11877.0,0.03731750442030816,5854.0
1491.0,0.3089268947015426,5878.0
2978.0,0.10740765614506381,4282.0
2575.0,0.22128155339805824,4221.0
8534.0,0.11485587063510663,5201.0
21009.0,0.07301109048503023,5298.0
12886.0,0.21477262144963527,8547.0
17156.0,0.17252681277687107,9215.0
19008.0,0.10242950336700336,10013.0
16792.0,0.07888696998570749,7811.0
27082.0,0.05578539251163134,9259.0
17660.0,0.06943601359003397,7403.0
10783.0,0.10209960122414913,9221.0
16433.0,0.08568003407777035,5155.0
6244.0,0.12138212684176809,8915.0
4501.0,0.20663852477227285,7994.0
4012.0,0.15304586241276172,6767.0
3403.0,0.13709961798413164,10023.0
3073.0,0.14882850634559064,13957.0
10674.0,0.13056398725875962,11716.0
10072.0,0.05831711675933281,20688.0
2942.0,0.2022331747110809,20182.0
1927.0,0.16242864556305137,12362.0
1861.0,0.1754862976894143,7627.0
1337.0,0.2905759162303665,4504.0
3959.0,0.14564536499115938,4048.0
4226.0,0.08106010411736866,4505.0
2723.0,0.13102827763496144,4661.0
18610.0,0.0841257388500806,4176.0
3695.0,0.3345710419485792,6795.0
8456.0,0.1007166508987701,7823.0
6233.0,0.11974490614471363,8075.0
13981.0,0.10427151133681424,11808.0
11405.0,0.10642525208241999,11859.0
26373.0,0.07577408713456946,15857.0
13270.0,0.07541296156744537,16410.0
15519.0,0.11036149236419873,11623.0
10351.0,0.060115930827939326,8141.0
10678.0,0.09793500655553475,10518.0
13669.0,0.05237252176457678,11828.0
7048.0,0.10779795686719637,9953.0
4403.0,0.1308312514194867,9598.0
6209.0,0.11119665002415847,12069.0
3623.0,0.1627463428098261,11235.0
3696.0,0.1731926406926407,9161.0
4738.0,0.13525327142254118,7357.0
2066.0,0.1257454017424976,5529.0
5146.0,0.13055577147298875,4798.0
3357.0,0.17176943699731903,5718.0
3500.0,0.1783057142857143,6084.0
2012.0,0.22059642147117295,4344.0
4248.0,0.7509580979284369,4395.0
7245.0,0.14861973775017254,6526.0
4068.0,0.1958874139626352,7161.0
11800.0,0.15423728813559323,6683.0
9977.0,0.1362954796030871,9354.0
20267.0,0.09699412838604628,11597.0
25004.0,0.0436478163493841,12730.0
8113.0,0.13532725255762357,9396.0
5449.0,0.21279317305927692,7158.0
18818.0,0.07080667446062282,9915.0
10828.0,0.08500092353158478,10786.0
9846.0,0.11462421287832622,7436.0
10652.0,0.07785955689072475,11658.0
3679.0,0.18204131557488448,6662.0
4213.0,0.1710657488725374,6215.0
6270.0,0.0982695374800638,12307.0
5987.0,0.09874895607148823,11651.0
3495.0,0.10799713876967096,7640.0
6167.0,0.13410896708286038,5309.0
13199.0,0.11588226380786423,3861.0
4566.0,0.09789312308366185,4802.0
3729.0,0.12468490211853044,4878.0
2260.0,0.2,4537.0
1904.0,0.19521008403361345,5910.0
4414.0,0.43531943815133667,6817.0
5020.0,0.12171912350597609,7330.0
9459.0,0.08976001691510731,9966.0
12181.0,0.0958287496921435,12141.0
10193.0,0.15298538212498775,19963.0
16103.0,0.05754828292864684,8148.0
40162.0,0.06926398087744634,14743.0
9197.0,0.15313906708709363,9499.0
7283.0,0.1320801867362351,8533.0
7952.0,0.24713531187122736,11351.0
9192.0,0.1334802001740644,11122.0
6405.0,0.1806494925839188,13419.0
12691.0,0.07089433456780396,11235.0
3688.0,0.16057754880694144,10864.0
3789.0,0.21193982581155976,6771.0
2023.0,0.1837073652990608,6767.0
5702.0,0.12840056120659418,7471.0
8096.0,0.07553483201581028,8869.0
6247.0,0.10504882343524892,7586.0
1317.0,0.260501138952164,4532.0
3247.0,0.17453341546042503,4379.0
6427.0,0.25978683678232456,3955.0
2112.0,0.16874999999999998,6575.0
2789.0,0.1647723198278953,5321.0
6485.0,0.11522436391673092,6134.0
9784.0,0.09526982829108749,7078.0
12374.0,0.123364312267658,8456.0
5108.0,0.17837705559906028,9105.0
13703.0,0.14034299058600305,8494.0
4693.0,0.23430641380779882,7865.0
15513.0,0.08380970798684975,10527.0
17426.0,0.08304659703890738,10755.0
4190.0,0.1357398568019093,7079.0
6105.0,0.17694348894348894,6565.0
6221.0,0.18448802443337084,5190.0
4705.0,0.19870563230605737,6139.0
5779.0,0.15662398338812944,6533.0
4571.0,0.16509297746663748,6275.0
3326.0,0.23372519542994588,6346.0
2257.0,0.4846389011962782,5231.0
1676.0,0.3467601431980907,4631.0
4807.0,0.12576242978988975,4801.0
