pay	comm	fast	fair	reviews	tos_flags	followers
2.48	2.44	3.73	3.2	0.21	0	1
4.56	3.53	4.44	4.44	0.49	0	1
4.63	4.13	3.91	4.58	0.36	0.21	1
3	3.29	3.79	3.38	0.38	0	1
2.79	1.5	3.73	4.1	0.14	0	1
4.09	2.86	4.26	3.97	0.32	0	1
5	5	5	5	0.16	0	1
3.05	3.67	4.23	4.33	0.22	0.83	1
3.07	3	3.58	3.33	0.13	0	1
1.67	0	1	5	0.05	0	1
3.78	5	5	5	0.08	0	1
3.19	2.67	3.88	3.65	0.26	0	1
4.15	4.44	4.35	4.64	0.56	0.42	1
4.92	5	5	4.97	0.38	0	1
4	5	5	5	0.01	0	1
3.32	4.4	4.79	4.93	0.59	0	1
3.69	4.64	4.08	4.25	0.17	0	1
1	0	0	0	0.01	0	1
2	0	3	3	0.01	0	1
3.13	4	4.43	4.43	0.08	0	1
4.72	2.82	4	4.72	0.27	0	1
5	0	4	5	0.02	0	1
5	0	5	5	0.03	0	1
4	0	5	4	0.02	0	1
4.47	3.43	4.35	3.91	0.21	0	1
2	1	3	3	0.04	0	1
0	1	0	0	0.01	0	1
4	4.2	4.25	4.67	0.15	0	1
5	0	5	5	0.01	0	1
1	0	0	0	0.01	0	1
2.67	5	4.67	3.75	0.07	0	1
3.5	5	5	5	0.04	0	1
1.33	5	3	3	0.03	0	1
5	0	5	5	0.01	0	1
2.88	3.75	4.2	3.83	0.08	0	1
4	5	4.75	5	0.05	0	1
3.47	3	3.13	3.4	0.2	0	1
1.5	1	1.5	1	0.03	0	1
3.57	3.86	4.6	4.27	0.16	0.21	1
5	0	5	5	0.02	0	1
4.5	0	5	5	0.02	0	1
3	2.91	3.6	3.47	0.16	0	1
1	1	1	1	0.02	0	1
1	1	1	1	0.02	0	1
4.17	5	4.83	5	0.06	0	1
5	0	0	0	0.01	0	1
5	0	5	5	0.02	0	1
5	0	5	5	0.06	0	1
4	0	5	5	0.08	0	1
3.43	3.83	4.43	4.43	0.08	0	1
5	0	5	5	0.01	0	1
5	5	5	5	0.05	0.83	1
4	1	3	3.5	0.05	0	1
2.25	5	4.5	5	0.05	0	1
5	0	5	5	0.08	0	1
2	0	5	5	0.02	0	1
4.19	4	4.19	3.85	0.26	0	1
1.75	0	5	5	0.04	0	1
5	5	3.67	5	0.03	0	1
4.88	0	5	5	0.08	0	1
5	5	5	5	0.02	0	1
4	5	5	5	0.03	0	1
4	2.75	4.18	4.09	0.11	0	1
2.14	1	3	2.5	0.08	0	1
4	0	5	5	0.01	0	1
4.6	4	4.78	4.78	0.19	0	1
5	0	5	5	0.04	0	1
2.9	1.83	3.22	2.78	0.09	0	1
5	0	5	5	0.03	0	1
5	5	4.8	5	0.07	0	1
1.31	1	1.36	1.33	0.15	0.63	1
3.67	2.67	4.56	4.69	0.19	0	1
5	5	5	5	0.05	0	1
5	5	5	5	0.11	0	1
4	5	5	5	0.04	0	1
4.5	0	4.75	4.75	0.04	0	1
3.09	5	4.38	4.29	0.1	0	1
4.29	3.5	4.25	4.31	0.46	0.21	1
4.36	2.84	4.15	4.11	0.66	0	1
2.5	2.33	4.4	4.2	0.09	0	1
2.97	2.29	2.81	2.89	0.4	0	1
3.56	5	4.62	4.71	0.17	0	1
3.75	1	3.67	3.67	0.04	0	1
4.21	3.67	4.35	4.44	0.23	0	1
3.63	0	4.38	4.5	0.08	0	1
3.89	1	4	4	0.08	0	1
2.78	3.14	3.86	3.75	0.19	0.42	1
4	5	4.8	5	0.05	0	1
2.2	2.4	2.4	4.5	0.06	0	1
5	5	5	5	0.03	0	1
4	3	4.2	4	0.05	0	1
3.6	3	4.2	4.2	0.05	0	1
4.67	5	5	4.78	0.09	0	1
4.36	1	4.84	4.84	0.27	0	1
5	5	5	5	0.01	0	1
3.67	3.67	3.67	3	0.03	0	1
5	0	5	5	0.02	0	1
4.2	5	5	5	0.09	0	1
3.75	4	5	5	0.04	0	1
3	5	4.25	5	0.11	0	1
3.5	5	5	5	0.02	0	1
5	5	5	5	0.02	0	1
1	1	1	1	0.04	0	1
5	0	5	5	0.01	0	1
3	0	0	0	0.01	0	1
5	5	4.8	5	0.06	0	1
3.8	0	5	5	0.05	0	1
4	0	5	5	0.01	0	1
3.21	4.06	4.24	4.6	0.41	0	1
1	1	1	1	0.03	0.21	1
1	1	1	1	0.02	0.42	1
5	5	5	5	0.03	0	1
2	1	4.75	4.2	0.08	0	1
2	0	4.5	5	0.02	0	1
5	0	5	5	0.02	0	1
5	5	5	5	0.02	0	1
3.33	3	5	5	0.03	0	1
4.67	5	5	5	0.03	0	1
2.4	4	4.8	4.6	0.05	0	1
3.67	4	5	4.33	0.03	0	1
4.25	5	4.38	4.38	0.08	0	1
4.25	3.67	4.33	4.33	0.12	0	1
4.83	5	5	5	0.06	0	1
1	0	5	5	0.02	0	1
2.59	4.15	4.6	4.65	0.51	0	1
4.38	1	1.43	3.4	0.09	0	1
4.88	5	5	5	0.08	0	1
3.71	2.71	3.71	4.42	0.39	0	1
3.86	3	4.15	4.08	0.14	0	1
2	1.6	2.33	2.56	0.09	0.21	1
4	3	4	4	0.05	0	1
5	0	0	0	0.01	0	1
1.67	1.33	1	1	0.07	0	1
4.43	5	5	4.5	0.08	0	1
3.5	0	5	5	0.02	0	1
4.67	5	5	4.78	0.08	0	1
2.75	1	3.33	4.33	0.04	0	1
3.75	5	5	5	0.04	0	1
1	0	0	0	0.01	0	1
2	1	2.5	3	0.07	0	1
2.25	2	2.25	2.75	0.04	0.21	1
4	0	5	5	0.01	0	1
3.85	5	4.33	5	0.15	0	1
2	0	5	5	0.03	0.21	1
4.07	3	4.56	4.2	0.16	0	1
2.75	1.67	3	2.5	0.06	0	1
5	5	5	5	0.04	0	1
3.4	5	5	5	0.06	0	1
3.5	3	4	4	0.1	0	1
1.5	4.5	3.2	2	0.05	0	1
4.43	4.2	5	5	0.07	0	1
5	0	5	5	0.01	0	1
4.67	0	3.67	4.67	0.03	0	1
4	5	5	5	0.08	0.42	1
4.25	5	5	5	0.04	0	1
3.14	5	4	4	0.07	0	1
4.33	4	4.91	5	0.11	0	1
3.43	4.5	5	4.83	0.07	0	1
2.83	2.55	3.81	3.5	0.19	0	1
2.78	2.67	3.46	3	0.25	0.21	1
4.08	5	5	4.71	0.14	0.21	1
3.86	0	5	5	0.07	0	1
4.31	4.11	4.85	4.56	0.25	0	1
3.57	4	3.43	3.57	0.08	0.42	1
5	0	5	5	0.01	0	1
5	5	5	5	0.06	0.63	1
1.57	1.57	1.57	1.4	0.09	0	1
3.63	5	4.86	5	0.15	0	1
1.67	1	2	2	0.05	0	1
3	4	4.2	4.2	0.13	0	1
3.67	3	3.67	3.67	0.03	0	1
4.36	4.75	5	5	0.13	0	1
1.21	1.78	2.07	2.38	0.37	0.21	1
