year,batch_size,instances
2014,253,16
2014,250,61
2014,251,7
2014,256,7
2014,257,7
2014,254,12
2014,255,11
2014,2203,3
2014,2205,1
2014,2209,1
2014,5130,1
2014,2429,1
2014,20720,1
2014,2422,1
2014,2423,2
2014,1162,1
2014,2425,1
2014,2426,1
2014,2427,3
2014,16346,1
2014,168,16
2014,169,15
2014,18386,1
2014,164,19
2014,165,9
2014,166,11
2014,167,20
2014,160,39
2014,161,25
2014,162,25
2014,163,14
2014,4839,1
2014,4838,1
2014,40437,1
2014,4526,1
2014,905,2
2014,3686,1
2014,3461,1
2014,22546,1
2014,6197,1
2014,2519,3
2014,7995,1
2014,2514,1
2014,2515,3
2014,7999,1
2014,2517,2
2014,2511,1
2014,2512,1
2014,11633,1
2014,2737,2
2014,9613,1
2014,8221,1
2014,57309,1
2014,3533,1
2014,3532,1
2014,5058,1
2014,1090,2
2014,1844,4
2014,21259,1
2014,5051,1
2014,5053,1
2014,1811,1
2014,1812,2
2014,1818,1
2014,1819,1
2014,14867,1
2014,6997,1
2014,1098,3
2014,14082,1
2014,1153,1
2014,20472,1
2014,20476,1
2014,11248,1
2014,1608,3
2014,1601,1
2014,4956,1
2014,3227,2
2014,1602,3
2014,1605,2
2014,1972,3
2014,1971,1
2014,1606,4
2014,809,3
2014,808,4
2014,803,2
2014,802,5
2014,801,4
2014,800,11
2014,807,2
2014,805,1
2014,804,5
2014,12923,1
2014,2846,2
2014,2844,1
2014,2845,1
2014,30189,1
2014,2841,2
2014,3320,1
2014,3324,1
2014,3326,1
2014,3329,1
2014,14266,1
2014,1259,1
2014,5479,1
2014,1775,2
2014,1774,1
2014,1776,1
2014,5270,1
2014,9895,1
2014,1779,1
2014,9896,1
2014,608,10
2014,3975,1
2014,2998,1
2014,6998,1
2014,1550,1
2014,1155,3
2014,1154,1
2014,1157,5
2014,1156,2
2014,1151,2
2014,1150,2
2014,8631,1
2014,1152,2
2014,1555,2
2014,26739,1
2014,1554,1
2014,1551,1
2014,2999,3
2014,1553,1
2014,1552,1
2014,59,57
2014,58,57
2014,1557,1
2014,1556,1
2014,55,51
2014,54,73
2014,57,54
2014,56,61
2014,51,83
2014,50,399
2014,53,67
2014,52,79
2014,537,4
2014,536,6
2014,535,3
2014,534,7
2014,533,3
2014,532,6
2014,531,4
2014,530,7
2014,2992,1
2014,539,1
2014,538,10
2014,8035,1
2014,1558,1
2014,3030,1
2014,8038,1
2014,2995,2
2014,9999,3
2014,2996,2
2014,8523,1
2014,32732,1
2014,2997,1
2014,63563,1
2014,9997,1
2014,9996,1
2014,72022,1
2014,10797,1
2014,5458,1
2014,6517,2
2014,429,7
2014,428,8
2014,1900,2
2014,1398,1
2014,421,5
2014,420,8
2014,423,5
2014,422,3
2014,425,6
2014,424,4
2014,427,4
2014,426,10
2014,3812,1
2014,35268,1
2014,3810,2
2014,3816,1
2014,3817,1
2014,3814,1
2014,3453,1
2014,3819,1
2014,19884,1
2014,4298,2
2014,4297,1
2014,7540,1
2014,7547,1
2014,5748,1
2014,3514,1
2014,4740,1
2014,5200,1
2014,5869,1
2014,5868,1
2014,9971,1
2014,5860,1
2014,1166,1
2014,2330,2
2014,2331,1
2014,24946,1
2014,17606,1
2014,2183,1
2014,2180,1
2014,12020,1
2014,2186,1
2014,229,16
2014,228,16
2014,227,15
2014,226,14
2014,225,11
2014,224,10
2014,223,7
2014,222,20
2014,221,11
2014,220,17
2014,2213,2
2014,2212,1
2014,2211,1
2014,2210,2
2014,2217,1
2014,4712,1
2014,2219,1
2014,6695,1
2014,151,18
2014,150,35
2014,153,22
2014,2438,2
2014,155,16
2014,154,33
2014,157,10
2014,156,18
2014,159,17
2014,2432,1
2014,1293,1
2014,2436,1
2014,9991,1
2014,63670,1
2014,12113,1
2014,6344,1
2014,656,4
2014,9428,1
2014,2509,1
2014,2508,1
2014,9421,1
2014,17196,1
2014,2505,1
2014,2504,1
2014,17192,1
2014,2501,1
2014,2500,4
2014,3471,1
2014,1389,2
2014,9604,1
2014,2721,1
2014,5285,1
2014,2728,1
2014,9193,1
2014,5048,1
2014,10373,1
2014,1806,3
2014,1805,1
2014,1804,2
2014,1802,1
2014,1801,1
2014,1800,3
2014,1809,1
2014,9515,1
2014,12209,1
2014,4991,1
2014,2160,2
2014,6230,1
2014,4998,2
2014,4999,2
2014,5,2200
2014,0,2
2014,9779,1
2014,10514,1
2014,9772,1
2014,3258,2
2014,1256,3
2014,1544,2
2014,2176,1
2014,4726,1
2014,14986,1
2014,3250,1
2014,3251,1
2014,18958,1
2014,1941,1
2014,1526,1
2014,1944,2
2014,818,1
2014,819,5
2014,1527,2
2014,810,5
2014,811,3
2014,812,4
2014,813,5
2014,814,2
2014,816,4
2014,817,3
2014,2858,2
2014,1250,3
2014,1622,2
2014,12938,1
2014,2852,1
2014,2855,2
2014,1993,2
2014,33885,1
2014,2856,1
2014,5461,1
2014,7044,2
2014,1492,1
2014,1493,3
2014,1494,1
2014,1495,2
2014,1496,4
2014,1396,4
2014,1498,4
2014,1499,4
2014,1395,1
2014,3202,1
2014,1700,1
2014,1702,1
2014,1394,1
2014,1704,3
2014,1705,2
2014,5261,1
2014,4571,1
2014,1393,1
2014,1996,2
2014,1392,1
2014,2096,1
2014,15853,1
2014,35037,1
2014,2090,1
2014,1128,1
2014,1129,5
2014,1120,3
2014,1123,1
2014,1124,3
2014,6982,1
2014,1126,2
2014,4722,1
2014,10936,1
2014,33771,1
2014,2989,1
2014,3029,1
2014,17987,1
2014,3026,2
2014,3025,2
2014,3024,1
2014,3023,1
2014,12359,1
2014,3021,1
2014,2984,1
2014,524,3
2014,525,4
2014,526,6
2014,527,2
2014,520,10
2014,521,7
2014,15584,1
2014,523,5
2014,1014,1
2014,1015,3
2014,1016,3
2014,1017,1
2014,528,5
2014,529,4
2014,1012,5
2014,1013,2
2014,1234,3
2014,1235,1
2014,1236,1
2014,303,7
2014,1230,1
2014,1231,1
2014,1233,3
2014,3957,2
2014,13864,1
2014,1238,1
2014,1239,1
2014,13861,1
2014,5672,1
2014,8285,1
2014,3955,1
2014,5676,1
2014,4353,1
2014,11006,1
2014,11005,1
2014,4677,2
2014,438,8
2014,439,7
2014,436,6
2014,437,7
2014,434,7
2014,435,7
2014,432,10
2014,433,9
2014,430,6
2014,431,6
2014,3804,1
2014,3807,1
2014,6799,1
2014,3800,1
2014,3802,1
2014,8466,1
2014,40368,1
2014,11348,1
2014,5702,1
2014,5703,1
2014,7552,1
2014,7555,1
2014,4775,1
2014,88667,1
2014,4170,1
2014,4172,1
2014,1030,1
2014,2265,1
2014,6754,2
2014,19314,1
2014,5812,1
2014,2464,2
2014,2466,1
2014,4619,1
2014,4618,1
2014,7396,1
2014,238,12
